label,condition_pair_count,transformation_count
SMILES:CC(C)(C)P(c1ccc2ccccc2c1-c1cccc2ccccc12)C(C)(C)C,6,4
SMILES:CN(C)CC(=O)O,6,4
SMILES:COc1ccnc(C(=N)N)c1,6,4
SMILES:[Cl][Pd][Cl].c1cnc2c(c1)ccc1cccnc12,6,4
SMILES:Cc1ccc(S(=O)(=O)N[C@H]2CCCC[C@@H]2N)cc1,5,4
SMILES:Cc1cccc(-c2cccc(C)n2)n1,5,4
SMILES:O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,5,4
SMILES:O=C(O)c1ccc[nH]1,5,4
NAME:(qphos)pd(allyl)cl,4,4
NAME:2g xphos,4,4
SMILES:CC(C)(C)P(C(C)(C)C)C(C)(C)C.Nc1ccccc1-c1cccc[c]1[Pd][Cl],4,4
SMILES:CC(C)P(c1ccnn1-c1c(-c2ccccc2)nn(-c2ccccc2)c1-c1ccccc1)C(C)C,4,4
SMILES:COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,4,4
SMILES:[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ru].[Ru].[Ru],4,4
SMILES:[C-]#[O+].[Cl][Ir].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,4,4
SMILES:c1ccc(CNCCNCc2ccccc2)cc1,4,4
SMILES:C1CCC([P+](CCC[P+](C2CCCC2)C2CCCC2)C2CCCC2)C1.F[B-](F)(F)F.F[B-](F)(F)F,46,3
NAME:[rh(cod)2]bf4,39,3
SMILES:CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CNc1ccccc1-c1cccc[c]1[Pd+].CS(=O)(=O)[O-],34,3
NAME:[ir(dtbbpy)(ppy)2]pf6,10,3
SMILES:Fc1cc(F)c(-c2ccccn2)[c]([Ir]([c]2cc(F)cc(F)c2-c2ccccn2)[c]2cc(F)cc(F)c2-c2ccccn2)c1,9,3
