rank,identifier_type,label,reaction_count
199,SMILES,[Ir](c1c(c2c3c(ccn2)cccc3)cccc1)(c1c(c2c3c(ccn2)cccc3)cccc1)c1c(c2c3c(ccn2)cccc3)cccc1,28
200,SMILES,C1CCCC1.[Fe].C[C@@H](C1CCCC1P(c1cc(c(c(c1)C)OC)C)c1cc(c(c(c1)C)OC)C)P(c1c(cccc1)C)c1c(cccc1)C,27
201,NAME,CTH-(R)-BINAM,27
202,SMILES,c1ccc(c(c1)c1c(cccc1)N)[Pd]Cl.c1(ccccc1c1c(cccc1OC(C)C)OC(C)C)P(C1CCCCC1)C1CCCCC1,27
203,SMILES,c1(cccc(n1)C(N)=NC#N)C(N)=NC#N,26
204,SMILES,c1(cccc(n1)C(=N)N)C(=N)N,26
205,NAME,Mandyphos SL-M002-1,26
206,NAME,"(R,R)-Me-BPE",26
207,SMILES,[Ru]1(I[Ru](I1)I)I.C1(CCC(CC1)C)C(C)C.C1(CCC(CC1)C)C(C)C,26
208,SMILES,C1(C(C(C(C1C)C)C)C)C.C1(C(C(C(C1C)C)C)C)C.[Ir](Cl)Cl.[Ir](Cl)Cl,26
209,NAME,[Ir{dF(CF3)ppy}2(dtbpy)]PF6,26
210,SMILES,P(C1C([C@H](P(c2ccccc2)c2ccccc2)C)CCC1)(C1CCCCC1)C1CCCCC1.C1CCCC1.[Fe],25
211,NAME,"(R,R)-Me-DuPhos",25
212,NAME,"(S,S,R,R)-TangPhos",25
213,NAME,Ru(Cp*)4,25
214,SMILES,C(C(O)=O)(O)=O,25
215,SMILES,c1(NC(C(NCc2ccc(cc2)C)=O)=O)c(cc(cc1)C)C,24
216,SMILES,C(c1ccccc1)(c1ccccc1)NC(C(Nc1c(cccc1C(C)C)C(C)C)=O)=O,24
217,SMILES,c1(cc(c(c(c1)C(C)(C)C)NC(=O)C(N[C@H](C(=O)N[C@@H]1C(OC(C1)=O)O)C)=O)C(C)(C)C)C(C)(C)C,24
218,SMILES,c1c(ccc(c1C(O)=O)NC(=O)C(=O)NCc1ccccc1)C#N,24
219,NAME,10% Pd/C E101,24
220,NAME,"(Ra,S)-Ph-Bn-SIPHOX",24
221,NAME,"(Ra,S)-DTB-Bn-SIPHOX",24
222,SMILES,P(C)(C)C,24
223,SMILES,c1ccccc1N,24
224,SMILES,CN,24
225,SMILES,C(C(O)=O)(C)(Cl)Cl,24
226,SMILES,c1(P(C2CCCCC2)C2CCCCC2)c(c2ccccc2)cccc1,24
227,SMILES,[Sb-](F)(F)(F)(F)(F)F.[Sb-](F)(F)(F)(F)(F)F.C1(C(C(C(C1C)C)C)C)C.C(C)#N.C(C)#N.C(C)#N.[Rh+2],24
228,SMILES,P1(C2CCCC2)[C@H](CC[C@@H]1C)C.P1(C2CCCC2)[C@H](CC[C@@H]1C)C.[Fe],23
229,SMILES,C1(C([C@H](P(C2CCCCC2)C2CCCCC2)C)CCC1)P(C1CCCCC1)C1CCCCC1.[Fe].C1CCCC1,23
230,NAME,dtbpb.BF4,23
231,NAME,(R)-DM-SEGPHOS,23
232,NAME,R-Josiphos SL-J011-1,23
233,NAME,RuPhos Pd G3,23
234,NAME,(R)-(+)-Cl-MeO-BIPHEP,22
235,SMILES,c12n(c3c(c(c1c(nn2C)C)=O)ccc(c3)Cl)CCN(CC)CC,22
236,NAME,(IPr)Pd(Allyl)Cl,22
237,SMILES,c1cccc(c1CCN)[Pd]Cl.C(C)(C)(P(C(C)(C)C)c1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)C,22
238,NAME,(NHC)Pd(Imd)Cl,22
239,SMILES,C1=CN(C(N1c1c(cccc1C(C)C)C(C)C)[Pd]Cl)c1c(cccc1C(C)C)C(C)C.CCC,22
240,SMILES,C1C[C@@H]([C@H](CC1)N=Cc1ccccn1)N=Cc1ccccn1,21
241,NAME,C1-300,21
242,NAME,C1-310,21
243,NAME,C1-360,21
244,NAME,C1-350,21
245,NAME,C1-361,21
246,NAME,C1-351,21
247,NAME,C1-311,21
248,NAME,C1-368,21
249,NAME,C1-308,21
250,NAME,C1-318,21
251,NAME,C1-304,21
252,NAME,C1-314,21
253,NAME,Ru-721,21
254,NAME,"(R)-(+)-MeO-BIPHEP, SL-A101-1",21
255,SMILES,c1c(cc(c(c1C(C)C)c1c(P(C2CCCCC2)C2CCCCC2)cccc1)C(C)C)C(C)C.c1cc(c(cc1)CCN)[Pd]Cl.CC(OC)(C)C,21
256,NAME,cataCXium A Pd G3,21
257,NAME,Pd-PEPPS-IPent,20
258,SMILES,C1(C(C(C(C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.P(C1CCCC1)(C(C)(C)C)C(C)(C)C.[Fe],20
259,SMILES,c1(P(CC)CC)ccc(cc1)N(C)C,20
260,NAME,dtbpb.BF4 / Pd(OAc)2,19
261,SMILES,P(C1C([C@H](P(C(C)(C)C)C(C)(C)C)C)CCC1)(c1ccccc1)c1ccccc1.C1CCCC1.[Fe],19
262,SMILES,c1(cc(P(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C2CCCC2[C@@H](C)P(C2CCCCC2)C2CCCCC2)cc(c1)C(F)(F)F)C(F)(F)F.C1CCCC1.[Fe],19
263,SMILES,c1(c2cc(ccn2)OC)cc(ccn1)OC,19
264,NAME,SPhos Palladacycle,19
265,NAME,(QPhos)Pd(crotyl)Cl,19
266,NAME,dcyppe.BF4 / Pd(OAc)2,18
267,SMILES,c1(c2c(cccc2)N(C)C)c(cccc1)[Pd]Cl.C1([C@H]2C[C@@H](C1)CC2)PC1[C@@H]2C[C@H](C1)CC2,18
268,NAME,(QPhos)Pd(allyl)Cl,18
269,NAME,(DTBNpP)Pd(allyl)Cl,18
270,SMILES,n1(c(n(c2c(C(C)C)cccc2C(C)C)cc1)=[Pd])c1c(C(C)C)cccc1C(C)C.n1(c(n(c2c(C(C)C)cccc2C(C)C)cc1)=[Pd])c1c(C(C)C)cccc1C(C)C.c12c(C(CCC1=O)=O)cccc2.c12c(C(CCC1=O)=O)cccc2,18
271,SMILES,c1(n(ccn1c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)=[Pd].c1(n(ccn1c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)=[Pd].C1(C=CC(c2c1cccc2)=O)=O.C1(C=CC(c2c1cccc2)=O)=O,18
272,SMILES,C1(C(C(C(C1C)C)C)C)C.[Ir](c1c(C(=Nc2ccc(cc2)OC)C)ccc(c1)C#N)Cl,18
273,SMILES,[Pd].c1(/C=C/C(/C=C/c2ccccc2)=O)ccccc1.c1(/C=C/C(/C=C/c2ccccc2)=O)ccccc1,18
274,NAME,(S)-Xylyl-P-Phos,17
275,NAME,(crotyl)chloro(Amphos)palladium (II),17
276,SMILES,P(C(C)(C)C)(C(C)(C)C)C(C)(C)C.c1(c2c(N)cccc2)c([Pd]Cl)cccc1,17
277,SMILES,c1cccc(c1[Pd]Cl)c1ccccc1N.c1cc(c(cc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,17
278,NAME,(AmPhos)Pd(allyl)Cl,17
279,SMILES,c1(cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC(C)C)OC(C)C.c1(c(cccc1)[Pd]Cl)CCN.C(C)(C)(OC)C,17
280,NAME,Pd(crotyl)(dtbNpP)Cl,17
281,SMILES,c1ccc(c(c1)c1c(cccc1)N)[Pd]Cl.c1(ccccc1c1c(cccc1OC)OC)P(C1CCCCC1)C1CCCCC1,17
282,SMILES,[Ni](Br)Br.P(c1ccccc1)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)c1ccccc1,17
283,SMILES,c1(n(c2c(cc(cc2C)C)C)ccn1c1c(cc(cc1C)C)C)=[Pd](Cl)CC=C,17
