protocol,target,pooling,regularization_c,classes,train_samples,valid_samples,training_seconds,maximum_iterations,maximum_iterations_used,converged,micro_average_precision,macro_average_precision_observed,mean_reciprocal_rank,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,recall_at_5,frequency_hit_rate_at_5,selected
reaction_center,solvent,masked_mean,1.0,20,219,48,0.03398969862610102,1000,8,True,0.452201637292298,0.44218432031177385,0.7887400793650793,0.7083333333333334,0.8333333333333334,0.9375,0.7768518518518519,0.75,False
reaction_center,solvent,masked_mean,10.0,20,219,48,0.04228141997009516,1000,10,True,0.4642890362095337,0.47002239796899753,0.7784564393939393,0.6666666666666666,0.8333333333333334,0.9375,0.7950810185185185,0.75,True
reaction_center,catalyst,cls,0.01,241,173,36,0.1420708429068327,1000,7,True,0.18371561074083648,0.375780462446255,0.5523386555373626,0.4166666666666667,0.6388888888888888,0.7222222222222222,0.3699760569858609,0.5277777777777778,False
reaction_center,catalyst,cls,0.1,241,173,36,0.19690899644047022,1000,8,True,0.22269663900156408,0.39385164078173773,0.6268764101167161,0.5277777777777778,0.6666666666666666,0.75,0.4259167212598586,0.5277777777777778,False
reaction_center,catalyst,cls,1.0,241,173,36,0.2511210385710001,1000,10,True,0.22881012070967074,0.3766479717287337,0.6343925274512038,0.5277777777777778,0.6666666666666666,0.7777777777777778,0.43709497202144265,0.5277777777777778,False
reaction_center,catalyst,cls,10.0,241,173,36,0.24712342116981745,1000,11,True,0.21916257532792305,0.3616052545599957,0.6433730647551786,0.5555555555555556,0.6666666666666666,0.75,0.3797560917658957,0.5277777777777778,False
reaction_center,catalyst,masked_mean,0.01,241,173,36,0.15854098834097385,1000,6,True,0.14008431306164257,0.36385927336719615,0.45155003747484,0.3333333333333333,0.4722222222222222,0.6388888888888888,0.26536693154340213,0.5277777777777778,False
reaction_center,catalyst,masked_mean,0.1,241,173,36,0.14015900250524282,1000,7,True,0.19124406534883398,0.39047678356333343,0.5603575683339109,0.4166666666666667,0.6666666666666666,0.7777777777777778,0.36460226411206803,0.5277777777777778,False
reaction_center,catalyst,masked_mean,1.0,241,173,36,0.18706503231078386,1000,9,True,0.2259347042457824,0.41318747014457,0.6104852104631322,0.4722222222222222,0.7222222222222222,0.7777777777777778,0.41498726854119006,0.5277777777777778,False
reaction_center,catalyst,masked_mean,10.0,241,173,36,0.21856629941612482,1000,10,True,0.23675071722106938,0.4261430025332781,0.6247426038473295,0.5,0.6944444444444444,0.8055555555555556,0.41744707725099883,0.5277777777777778,True
