transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:CCOC(=O)c1c[nH]nc1O>>SMILES:CCOC(=O)c1cn(-c2ccc(Cl)cc2)nc1O,5628418e05bb255f,CHAN-LAM,CCOC(=O)c1c[nH]nc1O>>CCOC(=O)c1cn(-c2ccc(Cl)cc2)nc1O,47,49,0,[],train,train
SMILES:CCOC(=O)c1cc2c(Br)nn(C(C)OCC)c2s1>>SMILES:CCOC(=O)c1cc2cn[nH]c2s1,caefd7cf60b0c1ab,HYDROGENATION,CCOC(=O)c1cc2c(Br)nn(C(C)OCC)c2s1>>CCOC(=O)c1cc2cn[nH]c2s1,53,55,0,[],train,train
SMILES:CCOC(=O)c1cc2c(Br)nn(C(C)OCC)c2s1>>SMILES:CCOC(=O)c1cc2cnn(C(C)OCC)c2s1,1e1462204c20a87f,HYDROGENATION,CCOC(=O)c1cc2c(Br)nn(C(C)OCC)c2s1>>CCOC(=O)c1cc2cnn(C(C)OCC)c2s1,62,64,0,[],train,test
SMILES:CCOC(=O)c1ccc(C#Cc2cnc3nc(NC(=O)C(C)(C)C)[nH]c(=O)c3c2)s1>>SMILES:CCOC(=O)c1ccc(CCC2CNc3nc(NC(=O)C(C)(C)C)[nH]c(=O)c3C2)s1,0f836417e1ede1c0,HYDROGENATION,CCOC(=O)c1ccc(C#Cc2cnc3nc(NC(=O)C(C)(C)C)[nH]c(=O)c3c2)s1>>CCOC(=O)c1ccc(CCC2CNc3nc(NC(=O)C(C)(C)C)[nH]c(=O)c3C2)s1,108,110,0,[],train,train
SMILES:CCOC(=O)c1cn[nH]c1.SMILES:Cn1cc(C(=O)CBr)cn1>>SMILES:CCOC(=O)c1cnn(CC(=O)c2cnn(C)c2)c1,ef3813fcb0745e9b,ACYLATION,CCOC(=O)c1cn[nH]c1.Cn1cc(C(=O)CBr)cn1>>CCOC(=O)c1cnn(CC(=O)c2cnn(C)c2)c1,67,69,0,[],valid,train
SMILES:CCOC(=O)c1nc2cccnn2c1Br.SMILES:Cc1cc(C#N)c(F)cc1B1OC(C)(C)C(C)(C)O1>>SMILES:Cc1cc(C#N)c(F)cc1-c1c(C(=O)O)nc2cccnn12,6e288dcdbbc18e67,SUZUKI,CCOC(=O)c1nc2cccnn2c1Br.Cc1cc(C#N)c(F)cc1B1OC(C)(C)C(C)(C)O1>>Cc1cc(C#N)c(F)cc1-c1c(C(=O)O)nc2cccnn12,99,101,0,[],valid,train
SMILES:CCOC(=O)n1nc(N)c2c1C(C)(C)N(C(=O)OC(C)(C)C)C2.SMILES:Cn1cc(I)cn1>>SMILES:CCOC(=O)n1nc(Nc2cnn(C)c2)c2c1C(C)(C)N(C(=O)OC(C)(C)C)C2,a1e692e4e70fd5db,BUCHWALD,CCOC(=O)n1nc(N)c2c1C(C)(C)N(C(=O)OC(C)(C)C)C2.Cn1cc(I)cn1>>CCOC(=O)n1nc(Nc2cnn(C)c2)c2c1C(C)(C)N(C(=O)OC(C)(C)C)C2,113,115,0,[],test,train
SMILES:CCOc1cc(Cl)c(C#N)cc1I.SMILES:c1cn[nH]c1>>SMILES:CCOc1cc(Cl)c(C#N)cc1-n1cccn1,b671d5ec2318d960,ULLMANN,CCOc1cc(Cl)c(C#N)cc1I.c1cn[nH]c1>>CCOc1cc(Cl)c(C#N)cc1-n1cccn1,56,58,0,[],train,train
SMILES:CC[B-](CC)CC.[K+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,c9a30712ae1362e6,AMINATION,CC[B-](CC)CC.[K+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,64,66,0,[],train,train
SMILES:CC[B-](CC)CC.[K+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,8d2062965a714202,AMINATION,CC[B-](CC)CC.[K+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,73,75,0,[],train,train
SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.SMILES:O=C(OO)c1cccc(Cl)c1>>SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,e8e688b4c0a19b22,BIOMIMETIC OXIDATION,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=C(OO)c1cccc(Cl)c1>>CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,95,97,0,[],train,train
SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.SMILES:O=Ic1ccccc1>>SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,478de110b5ec6233,BIOMIMETIC OXIDATION,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=Ic1ccccc1>>CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,88,90,0,[],train,valid
SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.SMILES:O=S(=O)(O)O[O-].O=S(=O)(O)O[O-].O=S(=O)([O-])O.O=S(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+]>>SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,ba771ee9fea6d78e,BIOMIMETIC OXIDATION,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O[O-].O=S(=O)(O)O[O-].O=S(=O)([O-])O.O=S(=O)([O-])[O-].[K+].[K+].[K+].[K+].[K+]>>CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,136,138,0,[],train,test
SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.SMILES:OO>>SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,5a71a5f4766dbeb3,BIOMIMETIC OXIDATION,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.OO>>CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,79,81,0,[],test,train
SMILES:CC[Si](CC)CC.SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1>>SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,f4ccf1b83e9499d1,SILANE REDUCTION,CC[Si](CC)CC.C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1>>C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,125,127,0,[],train,train
SMILES:CC[Si](CC)CC.SMILES:O=C1NCc2c(Br)cccc21.SMILES:O=CN1C(=O)c2ccccc2S1(=O)=O>>SMILES:O=Cc1cccc2c1CNC2=O,1151f07ae686495f,CARBONYLATION,CC[Si](CC)CC.O=C1NCc2c(Br)cccc21.O=CN1C(=O)c2ccccc2S1(=O)=O>>O=Cc1cccc2c1CNC2=O,74,76,0,[],test,train
SMILES:CC[Si](CC)CC.SMILES:O=C1NCc2c(Br)cccc21.SMILES:[C-]#[O+]>>SMILES:O=Cc1cccc2c1CNC2=O,8b5df9eb3fc86467,CARBONYLATION,CC[Si](CC)CC.O=C1NCc2c(Br)cccc21.[C-]#[O+]>>O=Cc1cccc2c1CNC2=O,51,53,0,[],train,train
SMILES:CCn1cc(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1.SMILES:[Cu][I]>>SMILES:CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,bcf33d1c249968df,CH ACTIVATION,CCn1cc(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1.[Cu][I]>>CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,104,106,0,[],train,valid
SMILES:CCn1cc(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1>>SMILES:CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,47d42120ea1ad686,CH ACTIVATION,CCn1cc(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1>>CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2,101,103,0,[],train,train
SMILES:CCn1cc(CNC(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1.SMILES:[Cu][I]>>SMILES:CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)NC2,6e4ecacdac565a02,CH ACTIVATION,CCn1cc(CNC(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1.[Cu][I]>>CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)NC2,98,100,0,[],train,train
SMILES:CCn1cc(CNC(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1>>SMILES:CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)NC2,d1ab86d00ab46002,CH ACTIVATION,CCn1cc(CNC(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)nn1>>CCn1nnc2c1-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)NC2,95,97,0,[],train,train
SMILES:CI.SMILES:Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1>>SMILES:Cc1nc2cccc(C)c2o1,c60bfee357068cd9,SUZUKI,CI.Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1>>Cc1nc2cccc(C)c2o1,56,58,0,[],valid,test
SMILES:CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](N)C1.SMILES:Nc1ccc(-c2cc(Cl)nc(N3CCOCC3)n2)cn1>>SMILES:CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Nc2cc(-c3ccc(N)nc3)nc(N3CCOCC3)n2)C1,55d48c1de9aeeddd,BUCHWALD,CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](N)C1.Nc1ccc(-c2cc(Cl)nc(N3CCOCC3)n2)cn1>>CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Nc2cc(-c3ccc(N)nc3)nc(N3CCOCC3)n2)C1,121,123,0,[],train,test
SMILES:CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1.SMILES:Cn1cc(N)cn1>>SMILES:Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3c(-c4ccccn4)c[nH]c3n2)cn1,73f3a03c04082ad2,BUCHWALD,CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1.Cn1cc(N)cn1>>Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3c(-c4ccccn4)c[nH]c3n2)cn1,131,133,0,[],train,train
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:C[Si]c1ccccc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,e762cc58471bfaa4,SILANE REDUCTION,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.C[Si]c1ccccc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,168,170,0,[],train,train
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:[Si]c1ccccc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,d74def68636d8408,SILANE REDUCTION,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.[Si]c1ccccc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,167,169,0,[],train,train
SMILES:CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.SMILES:c1ccc([Si]c2ccccc2)cc1>>SMILES:CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,7aab51c9070cd606,SILANE REDUCTION,CN(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21)C(=O)C[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1.c1ccc([Si]c2ccccc2)cc1>>CN(CC[C@H](NC(=O)OC(C)(C)C)C(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H]2OC(C)(C)O[C@@H]21,177,179,0,[],train,train
SMILES:CN(Cc1nn(C)c(C#N)[c]1[Sn]([CH3])([CH3])[CH3])C(=O)OC(C)(C)C.SMILES:COc1cc(Br)c(Br)nc1N.SMILES:[Cl][Cu]>>SMILES:COc1cc(Br)c(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)nc1N,9c5f855138509441,STILLE,CN(Cc1nn(C)c(C#N)[c]1[Sn]([CH3])([CH3])[CH3])C(=O)OC(C)(C)C.COc1cc(Br)c(Br)nc1N.[Cl][Cu]>>COc1cc(Br)c(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)nc1N,115,117,0,[],valid,train
SMILES:CN(Cc1nn(C)c(C#N)[c]1[Sn]([CH3])([CH3])[CH3])C(=O)OC(C)(C)C.SMILES:COc1cc(Br)c(Br)nc1N>>SMILES:COc1cc(Br)c(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)nc1N,0969d49b3220f25f,STILLE,CN(Cc1nn(C)c(C#N)[c]1[Sn]([CH3])([CH3])[CH3])C(=O)OC(C)(C)C.COc1cc(Br)c(Br)nc1N>>COc1cc(Br)c(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)nc1N,112,114,0,[],valid,valid
SMILES:CN(Cc1nn(C)c(C#N)c1-c1cnc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c(Br)n1)C(=O)OC(C)(C)C.SMILES:C[C@@H](O)c1ccccc1I>>SMILES:CC(Oc1nc(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1cc(F)ccc1I,14a7a4387df3f38d,ALKYLATION,CN(Cc1nn(C)c(C#N)c1-c1cnc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c(Br)n1)C(=O)OC(C)(C)C.C[C@@H](O)c1ccccc1I>>CC(Oc1nc(-c2c(CN(C)C(=O)OC(C)(C)C)nn(C)c2C#N)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1cc(F)ccc1I,188,190,0,[],test,train
SMILES:CN(c1ccccc1CN)S(C)(=O)=O.SMILES:Clc1cc2c(cnn2[C@H]2CCCCO2)c(Cl)n1>>SMILES:CN(c1ccccc1CNc1nc(Cl)cc2c1cnn2C1CCCCO1)S(C)(=O)=O,71f67e3e63bf63b2,SNAR,CN(c1ccccc1CN)S(C)(=O)=O.Clc1cc2c(cnn2[C@H]2CCCCO2)c(Cl)n1>>CN(c1ccccc1CNc1nc(Cl)cc2c1cnn2C1CCCCO1)S(C)(=O)=O,101,103,0,[],train,train
SMILES:CNCc1c(Br)c(C)nn1C.SMILES:C[C@@H](Oc1nc(Br)cnc1N)c1cc(F)ccc1I>>SMILES:Cc1nn(C)c(CN(C)C(=O)c2ccc(F)cc2C(C)Oc2nc(Br)cnc2N)c1Br,4f820c9c00a7ffdc,CARBONYLATION,CNCc1c(Br)c(C)nn1C.C[C@@H](Oc1nc(Br)cnc1N)c1cc(F)ccc1I>>Cc1nn(C)c(CN(C)C(=O)c2ccc(F)cc2C(C)Oc2nc(Br)cnc2N)c1Br,100,102,0,[],test,valid
SMILES:CO.SMILES:COc1cccc2c(Cl)ccnc12>>SMILES:COC(=O)c1ccnc2c(OC)cccc12,b8fdbfa91a98726f,CARBONYLATION,CO.COc1cccc2c(Cl)ccnc12>>COC(=O)c1ccnc2c(OC)cccc12,48,50,0,[],train,valid
SMILES:CO.SMILES:C[C@@H](Oc1cc(Br)cnc1N)c1c(Br)ccc(F)c1Cl>>SMILES:COC(=O)c1ccc(F)c(Cl)c1C(C)Oc1cc(Br)cnc1N,1dfb18a7f5e8a1d0,CARBONYLATION,CO.C[C@@H](Oc1cc(Br)cnc1N)c1c(Br)ccc(F)c1Cl>>COC(=O)c1ccc(F)c(Cl)c1C(C)Oc1cc(Br)cnc1N,74,76,0,[],test,test
SMILES:CO.SMILES:C[C@@H](Oc1nc(Br)cnc1N)c1c(I)ccc(F)c1Cl>>SMILES:COC(=O)c1ccc(F)c(Cl)c1C(C)Oc1nc(Br)cnc1N,104610b417ab0b0a,CARBONYLATION,CO.C[C@@H](Oc1nc(Br)cnc1N)c1c(I)ccc(F)c1Cl>>COC(=O)c1ccc(F)c(Cl)c1C(C)Oc1nc(Br)cnc1N,74,76,0,[],test,valid
SMILES:CO.SMILES:Cc1ccc(S(=O)(=O)OC2=CC(=O)CC2)cc1.SMILES:[C-]#[O+]>>SMILES:COC(=O)C1=CC(=O)CC1,eef24d68053e5d93,CARBONYLATION,CO.Cc1ccc(S(=O)(=O)OC2=CC(=O)CC2)cc1.[C-]#[O+]>>COC(=O)C1=CC(=O)CC1,60,62,0,[],train,test
SMILES:CO.SMILES:Clc1ccnc(-c2nnc[nH]2)c1.SMILES:[C-]#[O+]>>SMILES:COC(=O)c1ccnc(-c2nnc[nH]2)c1,7708236bd0fb3b44,CARBONYLATION,CO.Clc1ccnc(-c2nnc[nH]2)c1.[C-]#[O+]>>COC(=O)c1ccnc(-c2nnc[nH]2)c1,52,54,0,[],test,valid
SMILES:CO.SMILES:O=C1OC(=O)C2CCC1C2>>SMILES:COC(=O)[C@H]1CC[C@@H](C(=O)O)C1,a7e9f8ee150e2617,ESTERIFICATION,CO.O=C1OC(=O)C2CCC1C2>>COC(=O)[C@H]1CC[C@@H](C(=O)O)C1,44,46,0,[],train,train
SMILES:COB([C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C)[C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,36c44d2358caafc2,AMINATION,COB([C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C)[C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,94,96,0,[],valid,valid
SMILES:COB([C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C)[C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,2390be40294aeda8,AMINATION,COB([C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C)[C@H]1C[C@@H]2C[C@H]([C@@H]1C)C2(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,103,105,0,[],valid,train
SMILES:COC(=O)C1=CCC2(C1)OCCO2>>SMILES:COC(=O)C1=CC(=O)CC1,94f4a73d9279b13c,DEPROTECTION,COC(=O)C1=CCC2(C1)OCCO2>>COC(=O)C1=CC(=O)CC1,43,45,0,[],train,test
SMILES:COC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C>>SMILES:COC(=O)[C@@H](CC1CCC(O)CC1)NC(=O)OC(C)(C)C,9f648b12d4c31f40,HYDROGENATION,COC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C>>COC(=O)[C@@H](CC1CCC(O)CC1)NC(=O)OC(C)(C)C,75,77,0,[],valid,train
SMILES:COC(=O)c1cc(Br)cc(Br)c1.SMILES:OB(O)c1cccnc1>>SMILES:COC(=O)c1cc(Br)cc(-c2cccnc2)c1,821834d38dd39ee7,SUZUKI,COC(=O)c1cc(Br)cc(Br)c1.OB(O)c1cccnc1>>COC(=O)c1cc(Br)cc(-c2cccnc2)c1,65,67,0,[],train,train
SMILES:COC(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc(-c2c(C)nn(CC#N)c2CN(C)C(=O)OC(C)(C)C)cnc1N.SMILES:F[B-](F)(F)C1CC1.[K+]>>SMILES:COC(=O)c1ccc(F)c(C2CC2)c1C(C)Oc1nc(-c2c(C)nn(CC#N)c2CN(C)C(=O)OC(C)(C)C)cnc1N,eb62eab2b746fe07,SUZUKI,COC(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc(-c2c(C)nn(CC#N)c2CN(C)C(=O)OC(C)(C)C)cnc1N.F[B-](F)(F)C1CC1.[K+]>>COC(=O)c1ccc(F)c(C2CC2)c1C(C)Oc1nc(-c2c(C)nn(CC#N)c2CN(C)C(=O)OC(C)(C)C)cnc1N,167,169,0,[],test,test
SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)CB1OC(C)(C)C(C)(C)O1.SMILES:Nc1ncccc1Br>>SMILES:COC(=O)c1ccc(F)cc1C(C)Cc1cccnc1N,f94c7dab3a060e0b,SUZUKI,COC(=O)c1ccc(F)cc1[C@@H](C)CB1OC(C)(C)C(C)(C)O1.Nc1ncccc1Br>>COC(=O)c1ccc(F)cc1C(C)Cc1cccnc1N,86,88,0,[],train,valid
SMILES:COCCOc1ccc(C(=O)N[C@@H]2CCCN(C(=O)OC(C)(C)C)C2)cc1.SMILES:Clc1cccnc1Br.SMILES:Clc1cccnc1Cl>>SMILES:COCCOc1ccc(C(=O)N(c2ncccc2Cl)[C@@H]2CCCN(C(=O)OC(C)(C)C)C2)cc1,fb44768ad9fde819,BUCHWALD,COCCOc1ccc(C(=O)N[C@@H]2CCCN(C(=O)OC(C)(C)C)C2)cc1.Clc1cccnc1Br.Clc1cccnc1Cl>>COCCOc1ccc(C(=O)N(c2ncccc2Cl)[C@@H]2CCCN(C(=O)OC(C)(C)C)C2)cc1,124,126,0,[],train,train
SMILES:COCC[O][Al-][O]CCOC.[Na+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,2744040f0d9caf45,AMINATION,COCC[O][Al-][O]CCOC.[Na+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,66,68,0,[],test,train
SMILES:COC[C@@H](C)Oc1nc(Cl)cc(N2CCC(c3c[nH]c4nccc(OC)c34)CC2)n1.SMILES:C[C@@H](N)CO>>SMILES:COC[C@@H](C)Oc1nc(C(=O)N[C@H](C)CO)nc(N2CCC(c3c[nH]c4ncccc34)CC2)n1,3270e61fc3e00b69,CARBONYLATION,COC[C@@H](C)Oc1nc(Cl)cc(N2CCC(c3c[nH]c4nccc(OC)c34)CC2)n1.C[C@@H](N)CO>>COC[C@@H](C)Oc1nc(C(=O)N[C@H](C)CO)nc(N2CCC(c3c[nH]c4ncccc34)CC2)n1,112,114,0,[],train,train
SMILES:COS(=O)(=O)OC.SMILES:COc1nnc(Cl)cc1Br>>SMILES:Cn1nc(Cl)cc(Br)c1=O,fa888eed10482b84,ALKYLATION,COS(=O)(=O)OC.COc1nnc(Cl)cc1Br>>Cn1nc(Cl)cc(Br)c1=O,46,48,0,[],train,train
SMILES:COS(=O)(=O)OC.SMILES:C[C@H](N)c1ccc(-c2cnc(N)c(O[C@H](C)c3cc(F)ccc3-n3nccn3)c2)c(O)n1>>SMILES:COc1nc(C(C)N)ccc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,f5262e5bcbc29552,ALKYLATION,COS(=O)(=O)OC.C[C@H](N)c1ccc(-c2cnc(N)c(O[C@H](C)c3cc(F)ccc3-n3nccn3)c2)c(O)n1>>COc1nc(C(C)N)ccc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,126,128,0,[],test,train
SMILES:COS(=O)(=O)OC.SMILES:Fc1cc(Br)cc2cn[nH]c12>>SMILES:Cn1cc2cc(Br)cc(F)c2n1,1d5fd9c6f14b10ac,ALKYLATION,COS(=O)(=O)OC.Fc1cc(Br)cc2cn[nH]c12>>Cn1cc2cc(Br)cc(F)c2n1,52,54,0,[],train,train
SMILES:COS(=O)(=O)OC.SMILES:Fc1cc(Br)cc2cn[nH]c12>>SMILES:Cn1ncc2cc(Br)cc(F)c21,ea7beed97b972ef5,ALKYLATION,COS(=O)(=O)OC.Fc1cc(Br)cc2cn[nH]c12>>Cn1ncc2cc(Br)cc(F)c21,52,54,0,[],test,train
SMILES:CO[B-](OC)OC.[Na+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,918448f1c6c0fad2,AMINATION,CO[B-](OC)OC.[Na+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,64,66,0,[],train,valid
