transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:CC(C)[CH2][Al][CH2]C(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,5c818331cd9c2157,AMINATION,CC(C)[CH2][Al][CH2]C(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,75,77,0,[],test,valid
SMILES:CC(C)[Si](C(C)C)C(C)C.SMILES:CC(O)c1cccnc1.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,0c0ab82572de9861,ALKYLATION,CC(C)[Si](C(C)C)C(C)C.CC(O)c1cccnc1.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,76,78,0,[],test,train
SMILES:CC(O)c1cccnc1.SMILES:CCO[Si](C)OCC.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,4ae192a47ca63ab4,ALKYLATION,CC(O)c1cccnc1.CCO[Si](C)OCC.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,68,70,0,[],valid,valid
SMILES:CC(O)c1cccnc1.SMILES:CCO[Si](OCC)OCC.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,2acda056fbb31777,ALKYLATION,CC(O)c1cccnc1.CCO[Si](OCC)OCC.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,70,72,0,[],train,train
SMILES:CC(O)c1cccnc1.SMILES:CC[Si](CC)CC.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,8aa1e2a365bd440a,ALKYLATION,CC(O)c1cccnc1.CC[Si](CC)CC.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,67,69,0,[],train,valid
SMILES:CC(O)c1cccnc1.SMILES:C[Si](C)O[Si](C)C.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,35f21f4102e9e1e8,ALKYLATION,CC(O)c1cccnc1.C[Si](C)O[Si](C)C.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,69,71,0,[],train,train
SMILES:CC(O)c1cccnc1.SMILES:C[Si](C)c1ccccc1.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,602d55255f85d363,ALKYLATION,CC(O)c1cccnc1.C[Si](C)c1ccccc1.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,71,73,0,[],train,valid
SMILES:CC(O)c1cccnc1.SMILES:C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,c80e09f75d399d34,ALKYLATION,CC(O)c1cccnc1.C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,83,85,0,[],valid,train
SMILES:CC(O)c1cccnc1.SMILES:C[Si]c1ccccc1.SMILES:O=[N+]([O-])c1ccccc1F>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,eb347a84284f3a0b,ALKYLATION,CC(O)c1cccnc1.C[Si]c1ccccc1.O=[N+]([O-])c1ccccc1F>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,68,70,0,[],train,test
SMILES:CC(O)c1cccnc1.SMILES:O=[N+]([O-])c1ccccc1F.SMILES:[Si]c1ccccc1>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,833387a3d35016bc,ALKYLATION,CC(O)c1cccnc1.O=[N+]([O-])c1ccccc1F.[Si]c1ccccc1>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,67,69,0,[],train,valid
